plnt_folio,plnt_nom,tra_oper,tra_kwh,tra_peso,tra_regi,cau_trat,vol_trat,tra_reut,tra_pind,tra_rare,tra_ragr,tra_ince,tra_rotr,tra_regi_a,tra_oper_a,X,POBTOT,P_60YMAS,pob_urb,categoria_poblacion,Estado,Municipio,id_estado,id_municipio,clasif,idh,gdh,tmi,ipca,isal,ieduc,iing
1001,LOS SAUCES,1,773471,1078068,6,63.04,1999370,191156,0,1,0,0,0,Estatal,Si,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,NORIAS DE OJOCALIENTE,1,198220,308912,6,3.103,97891,4923,0,1,1,0,0,Estatal,Si,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,REENCUENTRO,1,26789,124574.56,6,3.89,122934,260,0,1,0,0,0,Estatal,Si,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"RASTRO
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"PUNTA DEL CIELO
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"LUMBRERAS CIENEGUILLAS
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"CALVILLITO
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"SANTA MARIA DE GALLARDO
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"SOLEDAD DE ABAJO
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"CIUDAD DE LOS NINOS
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"CAPAMITA
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,EL REFUGIO DE PENUELAS,1,NA,26266,6,0.073,2336,0,0,0,0,0,0,Estatal,Si,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"VILLA LAS NORIAS
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,CIUDAD,1,4971146,7280838,6,515.65,16315334,11648539,0,1,1,0,1,Estatal,Si,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"EJIDO COTORINAS
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"VINEDOS SAN FELIPE
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"EL SALTO DE LOS SALADO
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"EJIDO MONTORO
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"VILLA LAS PALMAS
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"CARTAGENA
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,"EL COLORADO
",2,0,0,0,0,0,0,0,0,0,0,0,No Aplica,No,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
