plnt_folio,plnt_nom,tra_oper,tra_kwh,tra_peso,tra_regi,cau_trat,tra_reut,tr_po_pl,tra_cost,raz_op_t,tra_pindo2,gasto_tra_pindo2,tra_pindo1,gasto_tra_pindo1,tra_rareo2,gasto_tra_rareo2,tra_rareo1,gasto_tra_rareo1,tra_ragro2,gasto_tra_ragro2,tra_ragro1,gasto_tra_ragro1,tra_inceo2,gasto_tra_inceo2,tra_inceo1,gasto_tra_inceo1,tra_rotro2,gasto_tra_rotro2,tra_rotro1,gasto_tra_rotro1,tra_intero2,gasto_tra_intero2,tra_intero1,gasto_tra_intero1,tra_regi_a,tra_oper_a,tra_reut_a,tr_po_pl_a,raz_op_t_a,X,POBTOT,P_60YMAS,pob_urb,categoria_poblacion,Estado,Municipio,id_estado,id_municipio,clasif,idh,gdh,tmi,ipca,isal,ieduc,iing
1001,EL CEDAZO,1,450231,1076123,2,NA,0,12,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Estatal,Si,No Aplica,Lodos activados,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,PUNTA DEL CIELO,1,23031,77652,4,NA,1,15,234105.741,0,NA,NA,NA,NA,NA,NA,1,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipal,Si,Se reutiliza el 100%,Discos biologicos rotatorios,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,NORIAS DE OJOCALIENTE,1,181085,448889,0,NA,0,12,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Aplica,Si,No Aplica,Lodos activados,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,VILLASUR,1,258700,277455.94,4,NA,2,12,1236975.311,0,NA,NA,NA,NA,1,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipal,Si,Se reutiliza solo una fraccion,Lodos activados,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,LOS ARELLANO,1,1618885,4836613,2,NA,0,12,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Estatal,Si,No Aplica,Lodos activados,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,CIUDAD,1,11671175,17561331,2,NA,0,12,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Estatal,Si,No Aplica,Lodos activados,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,CALVILLITO,1,58797,74543.82,4,NA,1,12,456353.1527,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipal,Si,Se reutiliza el 100%,Lodos activados,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,VILLA LAS PALMAS,1,45933,55014.85,4,NA,2,12,73152.3724,0,NA,NA,NA,NA,1,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipal,Si,Se reutiliza solo una fraccion,Lodos activados,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,CAPAMITA,2,NA,NA,0,NA,0,0,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Aplica,No,No Aplica,No Aplica,Robo de maquinaria/equipo,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,FERRONALES,1,298230,799411,2,NA,0,12,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Estatal,Si,No Aplica,Lodos activados,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,POCITOS,1,2295300,5867850,2,NA,0,12,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Estatal,Si,No Aplica,Lodos activados,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,CIUDAD GOTICA,1,23816,78934.52,4,NA,2,12,305815.9799,0,NA,NA,NA,NA,1,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipal,Si,Se reutiliza solo una fraccion,Lodos activados,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,QUERENCIA,1,159968,175606.65,4,NA,1,12,1080088.664,0,NA,NA,NA,NA,NA,NA,1,2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipal,Si,Se reutiliza el 100%,Lodos activados,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,JALTOMATE,1,147153,397805,2,NA,0,12,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Estatal,Si,No Aplica,Lodos activados,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,VILLA DE NUESTRA SENORA DE LA ASUNCION,1,511478,1741316,2,NA,0,12,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Estatal,Si,No Aplica,Lodos activados,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,VISTAS DE ORIENTE,1,55360,70677.2,4,NA,1,15,120612.74,0,NA,NA,NA,NA,NA,NA,1,3.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipal,Si,Se reutiliza el 100%,Discos biologicos rotatorios,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,EL REFUGIO DE PENUELAS,1,31873,90736,2,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Estatal,Si,No Aplica,No Aplica,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,POZO BRAVO,2,NA,NA,0,NA,0,0,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Aplica,No,No Aplica,No Aplica,Robo de maquinaria/equipo,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,LOS SAUCES,1,1018180,2562848,2,NA,0,12,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Estatal,Si,No Aplica,Lodos activados,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,VILLA LAS NORIAS,1,57985,176352,4,NA,2,12,632487.292,0,NA,NA,NA,NA,1,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipal,Si,Se reutiliza solo una fraccion,Lodos activados,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,REENCUENTRO,1,21908,63732,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Aplica,Si,No Aplica,No Aplica,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,MIRADORES,1,298862.09,708961.93,4,NA,1,12,1338656.218,0,NA,NA,NA,NA,NA,NA,1,11.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipal,Si,Se reutiliza el 100%,Lodos activados,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
