plnt_folio,plnt_nom,tra_oper,tra_kwh,tra_peso,cau_trat,tra_reut,tr_po_pl,tra_cost,raz_op_t,tra_pindo2,gasto_tra_pindo2,tra_pindo1,gasto_tra_pindo1,tra_rareo2,gasto_tra_rareo2,tra_rareo1,gasto_tra_rareo1,tra_ragro2,gasto_tra_ragro2,tra_ragro1,gasto_tra_ragro1,tra_inceo2,gasto_tra_inceo2,tra_inceo1,gasto_tra_inceo1,tra_rotro2,gasto_tra_rotro2,tra_rotro1,gasto_tra_rotro1,tra_intero2,gasto_tra_intero2,tra_intero1,gasto_tra_intero1,tra_oper_a,tra_reut_a,tr_po_pl_a,raz_op_t_a,X,POBTOT,P_60YMAS,pob_urb,categoria_poblacion,Estado,Municipio,id_estado,id_municipio,clasif,idh,gdh,tmi,ipca,isal,ieduc,iing
1001,MIRADORES,1,298862,708962,11.82,1,12,1338656.2,0,NA,NA,NA,NA,NA,NA,1,11.8240107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza el 100%,Lodos activados,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,SANTA MONICA,1,368960,404245,8.15,1,12,1235493.21,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza el 100%,Lodos activados,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,CIUDAD GOTICA,1,23816,78935,1.14,2,12,305815.9799,0,NA,NA,NA,NA,1,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Lodos activados,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,VILLA LAS NORIAS,1,57985,176352,1,2,12,632487.29,0,NA,NA,NA,NA,1,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Lodos activados,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,CAPAMITA,2,NA,NA,NA,0,0,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No Aplica,No Aplica,Robo de maquinaria/equipo,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,VILLASUR,1,258700,277456,11.32,2,12,1236975.3,0,NA,NA,NA,NA,1,2.07921106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Lodos activados,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,CARTAGENA,2,NA,NA,NA,0,0,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No Aplica,No Aplica,Robo de maquinaria/equipo,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,CALVILLITO,1,58797,74544,1.81,1,12,456353.1527,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza el 100%,Lodos activados,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,VISTAS DE ORIENTE,1,55360,70677,3.22,1,15,120612.74,0,NA,NA,NA,NA,NA,NA,1,3.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza el 100%,Discos biologicos rotatorios,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,VILLA LAS PALMAS,1,45933,55015,1.36,2,12,73152.3724,0,NA,NA,NA,NA,1,0.325342466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Lodos activados,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,PARQUE MEXICO,2,NA,NA,NA,0,0,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No Aplica,No Aplica,Otro,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1001,QUERENCIA,1,159968,175607,2.99,1,12,1080088.664,0,NA,NA,NA,NA,NA,NA,1,2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza el 100%,Lodos activados,No Aplica,1,948990,102987,901446,Metropolitanos,Aguascalientes,Aguascalientes,1,1,52,0.804,MUY ALTO,5.8,3498.3,0.965,0.671,0.804
1002,CIENEGA GRANDE,1,NA,NA,NA,2,12,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Se reutiliza solo una fraccion,Lodos activados,No Aplica,2,51536,4697,17760,Urbanos,Aguascalientes,Asientos,1,2,1025,0.665,MEDIO,19.4,1427.5,0.85,0.517,0.669
