1. Clave de identificación ,2. Nombre de la planta de tratamiento,3. País,4. Lugar,4a. Cuencas HydroSHEDS L3,5. Clave de identificación nacional de la planta de tratamiento,6. Clave HydroWASTE,7. Año de inicio de operaciones de la planta,8. Operador PTAR,8a. Tipo de operador,"9. Tamaño
[Campo Calculado]",10. Latitude,11. Longitude,12. Latitude de la descarga,13. Longitude de la descarga ,14.Capacidad de tratamiento en litros por segundo (L/s),14a.Capacidad de tratamiento máximo (L/s),15. Caudal de operación promedio (L/s),16. Año de caudal de operación promedio,"Capacidad diseño para clasificación (L/s)
[Campo calculado]","Caudal de operación promedio para análisis (L/s)
[Campo calculado]",17a. Categorías del Proceso de tratamiento  ,17b. Subcategorías del Proceso de tratamiento  ,"Campo de clasificación de procesos de tratamiento
(RML)",18. Detalles del proceso de tratamiento ,19. Estado,20. Destino del agua residual,20a. Categoría de destino,21. Se aprovecha el biogás?,22. Disposición de lodos o fangos resultado del tratamiento,23. Volumen de lodos o fangos (L/s),24. Volumen reutilizado,25. Destino o tipo de uso,27 Notas,28. Fuente de la información,29. Año de información ,30. Fecha de ingreso ,"Observaciones al registro: 
""<Tipo><Fecha> <Iniciales> <Comentario>"":
[INFO] 230725 JM Comentario",Indicador geoposición,Indicador gasto,tipo_regimen,Estado,Municipio
MEX-2811,PTAR Saldarriaga,México,"Saldarriaga, El Marqués, México",ND,ND,ND,ND,ND,,01 Microplanta o sin dato,20.6293492254522,-100.302594422889,20.62963,-100.303,20.0,20.0,ND,ND,20.0,20.0,06 Reactor anaerobio de flujo ascendente (RAFA),06.3 Reactor anaerobio de flujo ascendente (RAFA) y lodos activados,,Tren de tratamiento de agua: Pretratamiento + Tratamiento anaerobio (UASB) + Tratamiento aerobio (Lodos activados) + Desinfección (cloro) ,05 No reportada (se asume en operación),Río Querétaro,01 Río o corriente,ND,Tren de tratamiento de lodo: Tornillos deshidratadores de lodo ,ND,ND,Río Querétaro,En pruebas en Abril 2023.,"DQ(2023), Hydrolia(2023)",2023,231105,[INFO] 231101 JM Adición,Sí,Sí,,Mexico,El Marqués
MEX-0001,Atotonilco de Tula,México,"Atotonilco de Tula, Hidalgo",753 Golfo de México y vertiente Atlántico de América C.,4176,ND,2017,ATVM,,04 Megaplanta,19.95733793,-99.29732085,19.95353,-99.2982,35000.0,50000.0,28743.23,2022,35000.0,28743.23,01 Lodos activados,01 Lodos activados,,Lodos Activados - Convencional+ Primario Avanzado,01 En operación,"6. Suelo, infiltración",03 Terreno,03 Genera energía,Monorrelleno En Predio,ND,ND,"6. Suelo, infiltración",Adecuaciones: No. Destino del efluente: Valle del Mezquital.,ANEAS(2022),2022,20230417,"[->RM] 230831 JM ¿No sería ATVM el operador (tiene CONAGUA al momento)? De ahí derivar una regla para concesionarios, si fuese el caso",Sí,Sí,Privado,Hidalgo,Atotonilco de Tula
MEX-0003,Dulces Nombres,México,"Pesquería, Nuevo León",752 Río Bravo y cuencas centrales del norte de México,579,ND,1996,Organismo Operador (Sadm),,04 Megaplanta,25.74003378,-100.0678217,25.73584,-100.069,7500.0,7500.0,6786.063102,2022,7500.0,6786.063102,01 Lodos activados,01.g Lodos activados alta tasa,,Lodos Activados - Alta Tasa,01 En operación,5. Ríos,01 Río o corriente,No,Relleno Dn,ND,ND,5. Ríos,Adecuaciones: Ampliación 50% en 2012. Destino del efluente: Río Pesqueria.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Nuevo Leon,Pesquería
MEX-0002,Agua Prieta,México,"Zapopan, Jalisco",771 Cuencas Vertiente Pacífico de México y América Central,4871,ND,2014,Comisión Estatal,,04 Megaplanta,20.768431,-103.335031,20.78526,-103.325,8500.0,8500.0,4479,2022,8500.0,4479.0,01 Lodos activados,01 Lodos activados,,Lodos Activados - Convencional,01 En operación,5. Ríos,01 Río o corriente,03 Genera energía,ND,ND,ND,5. Ríos,Destino del efluente: Río Santiago. Se aprovecha biogás (Ramírez 2022).,"ANEAS(2022), Ramírez(2022).",2022,20230417,[INFO] 230831 JM Información sobre plantas generadoras de electricidad Ramírez(2022).,Sí,Sí,Publico,Jalisco,Zapopan
MEX-0004,Norte,México,"General Escobedo, Nuevo León",752 Río Bravo y cuencas centrales del norte de México,562,ND,1995,Organismo Operador (Sadm),,04 Megaplanta,25.8006,-100.2862333,25.80032,-100.291,4000.0,4000.0,2513,2022,4000.0,2513.0,01 Lodos activados,01 Lodos activados,,Lodos Activados - Convencional,01 En operación,5. Ríos,01 Río o corriente,No,Relleno Dn,ND,ND,5. Ríos,Adecuaciones: Tren 6 año 2018. Destino del efluente: Río Pesqueria.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Nuevo Leon,General Escobedo
MEX-0008,Hermosillo,México,"Hermosillo, Sonora",771 Cuencas Vertiente Pacífico de México y América Central,4300,ND,2016,ND,,04 Megaplanta,29.03479978,-111.0655783,29.03176,-111.065,2500.0,2500.0,2300,2022,2500.0,2300.0,01 Lodos activados,01.a Lodos activados aireación extendida,,Lodos Activados - Aireación semi extendida,01 En operación,5. Ríos,01 Río o corriente,03 Genera energía,ND,ND,ND,5. Ríos,Destino del efluente: Rio Sonora/Canal de Riego. Se aprovecha biogás (Ramírez 2022).,"ANEAS(2022), Ramírez(2022).",2022,20230417,[INFO] 230831 JM Información sobre plantas generadoras de electricidad Ramírez(2022).,Sí,Sí,,Sonora,Hermosillo
MEX-0009,El Ahogado,México,"Tlajomulco de Zuñiga, Jalisco",771 Cuencas Vertiente Pacífico de México y América Central,3656,ND,2011,ND,,04 Megaplanta,20.508247,-103.256613,20.51106,-103.254,2250.0,2250.0,2257,2022,2250.0,2257.0,01 Lodos activados,01 Lodos activados,,Lodos Activados - Remoción de nitrógeno y fósforo,01 En operación,5. Ríos,01 Río o corriente,03 Genera energía,ND,ND,ND,5. Ríos,Destino del efluente: Río Santiago.,ANEAS(2022),2022,20230417,,Sí,Sí,,Jalisco,Tlajomulco de Zuñiga
MEX-0011,Cd. Aguascalientes,México,"Aguascalientes, Aguascalientes",771 Cuencas Vertiente Pacífico de México y América Central,1,ND,1993,ND,,04 Megaplanta,21.833285,-102.339249,21.83605,-102.342,2000.0,2000.0,2000,2022,2000.0,2000.0,04 Biofiltros,04.4 Biofiltros y lodos activados,,Biofiltros - Biofiltros + lodos activados (dual),01 En operación,5. Ríos,01 Río o corriente,03 Genera energía,ND,ND,ND,5. Ríos,Adecuaciones: 2018 reingeniería. Destino del efluente: Río San Pedro.,ANEAS(2022),2022,20230417,,Sí,Sí,,Aguascalientes,Aguascalientes
MEX-0014,Oriente de Durango,México,"Durango, Durango",771 Cuencas Vertiente Pacífico de México y América Central,247,ND,1996,Organismo Operador,,04 Megaplanta,24.025516,-104.604468,24.02779,-104.603,1850.0,1850.0,1850,2022,1850.0,1850.0,02 Lagunas,02 Lagunas,,Lagunas - Lagunas de aireación y de estabilización,01 En operación,5. Ríos,01 Río o corriente,No,ND,ND,ND,5. Ríos,Adecuaciones: Ninguna. Destino del efluente: Arroyo Acequia Grande.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Durango,Durango
MEX-0015,"Culiacán ""Norte""",México,"Culiacán, Sinaloa",771 Cuencas Vertiente Pacífico de México y América Central,1047,ND,2001,ND,,04 Megaplanta,24.801701,-107.492111,24.80368,-107.493,1700.0,1700.0,1687,2022,1700.0,1687.0,09 Primario avanzado,09 Primario avanzado,,Primario Avanzado - ,01 En operación,"6. Suelo, infiltración",03 Terreno,02 Gasómetro,ND,ND,ND,"6. Suelo, infiltración",Destino del efluente: Dren Cedritos (100% agua tratada con reúso indirecto ambiental).,ANEAS(2022),2022,20230417,,Sí,Sí,,Sinaloa,Culiacán
